run_id,arm,lambda_max,fold,seed,accuracy,macro_f1,scope
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,46,0.26095238095238094,0.2769615801250148,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,42,0.2857142857142857,0.26385641145069455,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,43,0.2661904761904762,0.26552661913887915,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,44,0.2623809523809524,0.22233515629122275,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,45,0.30857142857142855,0.26774876147436455,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,46,0.2914285714285714,0.26300739837244536,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,42,0.2861904761904762,0.2856408746519216,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,43,0.2338095238095238,0.23440767405125124,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,44,0.30095238095238097,0.2676798850233287,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,45,0.20142857142857143,0.21788170751297953,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S1-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S1,46,0.2714285714285714,0.2677656885437346,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.03-S2-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.03,S2,42,0.28523809523809524,0.26883872882200327,FAMILIAR_SOURCE_INNER_VALIDATION
